8005180E	yuqiang chen
800606B2	yuchen zhao
8006DE31	bin cao
80082799	zhifeng hao
800836E7	liangda li
800A736D	joydeep ghosh
800AFCFC	hyun duk kim
800E5FCC	ali daud
80131266	lu su
8013A88F	jing zhang
8014F8F6	peng xu
8015B76C	peng huang
801A28FB	tao qin
801C5938	shihfu chang
8020C741	thomas s huang
80229AC2	binbin liao
80238C16	jianyun nie
8023C793	qinghua zheng
80262F25	dong zhuang
8028C0E5	jing liu
802A6DDF	nenghai yu
802BB273	yanfang ye
802D540C	yuto yamaguchi
802E5173	zhen liao
802EAC73	wanhong xu
802F8789	qiankun zhao
8030173A	jun yan
8030DCE0	yun jiang
80317198	bangyong liang
8032D037	jinhui tang
80336766	xuehua shen
80339C78	shengping liu
8033D3CB	ying chen
8037CE2D	po hu
8038CFBB	qiansheng cheng
803BCE26	limin yao
803BEDCD	chun chen
803C0E57	changhu wang
803F1C47	uksong kang
804048C5	yadong mu
804077B5	haizhou zhao
80429645	xudong zhang
8042C573	tianbao yang
80433E7F	yidong yuan
8047E2CD	xiaotong yuan
8048631F	le yu
80492E16	keke cai
8049AC63	guan wang
8049F524	shuyi zheng
804AF42C	kurtis demaagd
804B16FB	utkarsh srivastava
804DEFCC	yi wang
804ECF93	maximilian nickel
80509AFE	chengxiang zhai
8050A2B3	arnab nandi
8053B2D2	hui han
8053CFF1	qinli yang
805800E4	fengjiao wang
805CC359	sarah k tyler
805CF126	junli yang
805D66F5	tianyi zhou
805D82AC	shihao ji
8060880E	yunhai tong
80613D94	cheng niu
8062C759	nitin agarwal
8065563C	yanyan lan
8067ABEF	zheng chen
8069CFEA	weiying ma
806B160C	l e moser
806C4464	jianwei zhang
806DCF8E	edward y chang
806F23BD	lifang he
80715609	arjun mukherjee
8073A164	yunhong zhou
8073C2D7	nicola barbieri
80747B75	yang xiang
807528E5	weiguo feng
80768600	gary l miller
8078C053	yuru lin
807CFB44	chao zhang
807F0E63	jiang bian
808006B9	wai lam
8083F893	lu an tang
80868F9A	lijun zhang
80890E46	li tao
808A164A	yida wang
808BD420	philip yu
808E01DE	weibin zhu
808E1A28	jimin jia
808E9076	erdong chen
808F1CF4	jianbin huang
8091362F	zhe cao
809270CE	yuxiao dong
8092894D	yongzhen huang
80938F5B	taifeng wang
809572A8	shuigeng zhou
809825AF	kun zhang
809843AA	bai wang
8098839F	jianguo li
8098E2A6	xiaofei he
80996BEB	jirong wen
809EA698	hongning wang
809F6DBC	huajun zeng
809F97B5	zhili guo
80A0A7C8	jie tang
80A1A284	jun zhu
80A2AD34	yin liu
80A39887	s wang
80A5B227	yanen li
80A5BE89	xiaoqiao meng
80A80605	guang feng
80A9E07D	urs michel
80AB241A	tieniu tan
80AB73BF	weiguo fan
80ABE0C5	zenglin xu
80AC122A	yi huang
80ACF8DD	chiehjan mike liang
80AD0233	guang qiu
80AD6679	manish gupta
80AF5DFF	yuezhi zhou
80B03CAD	cong yu
80B06F45	edward a fox
80B39721	yiming yang
80B437D0	chenxi lin
80B61305	chunxiao xing
80B6BFB6	chinyew lin
80B88168	kehong wang
80B9C0F3	yang hu
80BC4A9D	jiayu pan
80BE620B	kai yu
80C447B2	shouchun chen
80C7A12D	manish gupta
80C82930	hwanjo yu
80C82BD4	feida zhu
80C91A39	tatseng chua
80CCF05C	tan jin
80CD56B1	h yang
80CD8B9B	dongqing zhang
80CF3CF9	ying ding
80CFA8EA	jinxiang dong
80D2FD7B	muyuan wang
80D45A61	shulong tan
80D570B8	tao li
80D6D8AD	shuzhen nong
80D72E52	gordon sun
80D9C0A8	hong cheng
80DC66F3	jidong wang
80DFB745	tiancheng lou
80E1978D	minlie huang
80E1B3D5	zheng shao
80E330EA	ruofei zhang
80E482F4	jieming zhu
80E59A9E	zhenyue zhang
80E6E23A	michele curcio
80E7C369	xiaoming fu
80E8CE44	shipeng yu
80EACFC4	c m campbell
80EC1DC1	shiqian ma
80ED4739	tian li
80ED6C39	ziyu guan
80EE1F72	ravi kumar
80EE57E7	s s keerthi
80F04D5C	wenjie fu
80F059A6	yanan cai
80F1974E	ryoji kataoka
80F34055	hanghang tong
80F3D61E	xiaolei li
80F3F358	zhijun yin
80F40C1B	ruihua song
80F4BF4F	jie han
80F8B6C5	s yang
80F9BBF8	feng liang
80FA7FBA	feng jin
80FABD9D	rong pan
80FCDD03	yiping ke
810092AE	guozhu dong
8100E205	naiyao zhang
81053DE9	sangkyum kim
810568F7	jingxuan li
8105C4AC	xin jin
810A7B72	liansheng zhuang
810B4A93	zheng chen
810CF967	huijia zhu
810D2197	andreas krause
810D7A5D	hongbo deng
810DE36A	robson l f cordeiro
811051D8	liangliang cao
81114285	zeqian shen
8111A701	ping li
81145AC3	xiumei wang
81146E85	xiansheng hua
8115F362	bin fu
8118A14E	jieping ye
81194884	mohammed j zaki
811AA917	mingfeng tsai
811B187D	qiaozhu mei
811B4B4D	yi cai
811CA014	wentao tian
811EB34E	jun rao
811EE217	xiaoou tang
8120808A	desheng wang
812196E9	ning liu
8121FB43	yaoxue zhang
8122ED5A	tianyi wu
8126BCBD	dijun luo
8128B63B	chunyi shi
812991FA	guoren wang
812A4E4A	junghoo cho
812A5E61	xiubo geng
812AFD1C	xiaowen ding
812C4614	zhong su
812C8D5D	yintao yu
812D7C8C	lei shi
812E3222	xuegang hu
812F611E	haiqin yang
8131F1C1	yue lu
813304BC	hongyan liu
8133980E	wenzhao tan
8133CE92	f jing
813406EC	yunzhang zhu
813493D1	hailiang chen
8138405A	guirong xue
8139101A	yi chang
813A6EAD	guofei jiang
813AD9F1	wenyun yang
813C7504	lijun chang
813D3D2D	yongji wang
813ED820	li zhuang
813F6C3E	hai jin
813FD296	kangmiao liu
814137D1	haruhiko kojima
81419E8B	randy moulic
81436D02	bing liu
8144D5C7	fangqiu han
81466B09	kefeng deng
8146C995	wenwu lou
8146D840	sourav s bhowmick
814ACFC8	peixiang zhao
814DDDEA	di wu
814F94B4	ran he
815009AA	min zhao
8150412D	shaoxu song
8153F0F3	zhengkai liu
8155AF94	jiajun bu
8155C0BF	sugato basu
815694AE	siaucheng khoo
81589516	yihong gong
81595286	jiangtao ren
8159EA08	peng huang
815A4B73	wilfred ng
815C3601	yi yu
815CEE86	jiashi feng
815E102A	alice oh
815FD9EE	ellen k hughes
8166E6F8	yi zhuang
8168C0D0	richard t barber
81692466	furu wei
816B3EF4	wenbin tang
816F7F53	harris wu
81731A99	guoliang li
81758451	bingjun sun
8178DC2E	jian hu
817B1C47	bin gao
8187A14F	tong zhang
818F5DC2	lei zhang
81A419ED	xiaolei li
81B487E5	xiaoyun wu
81B8EBB9	scott spangler
81BF205D	y m wang
81C2BCE0	pu wang
81C6BD58	zhongfei zhang
81CB2502	xiao hu
81CF6028	prithwish basu
81D2EC2C	matthew hurst
81D5477F	rui li
81F3FD14	philip b gibbons
81F87806	neil shah
8200A670	min lu
820C10DA	yuan gao
82154B00	timothee cour
821F3A16	geguang pu
822D40C3	honghan shuai
82396AA9	vi ncent wenchen zheng
823F7E77	wei liu
824515A9	kun yang
82463778	lei li
825A39F9	gunhee kim
82635DFB	haoliang jiang
826D6989	haifeng chen
827742E8	brian gallagher
8280BBD2	feng xu
82817E59	deepayan chakrabarti
82838A35	guang feng
8284EAA6	kamfai wong
8295D304	jing bai
82968870	bo wang
82A10A6B	di wu
82B33CB0	dan roth
82B97EFC	rui ma
82C105E0	alessandro panconesi
82C7BA2C	julio lopez
82CB5077	bin wang
82D27C71	liu liu
